
NO,Value,Sell,Buy,Date
1,1,51865.06,51332.29,11/29/2024
2,1,52036.83,51485.58,11/28/2024
3,1,51789.25,51257.28,11/26/2024
4,1,52047.52,51362.42,11/25/2024
5,1,52109.9,51574.62,11/22/2024
6,1,51848.82,51299.53,11/21/2024
7,1,51719.91,51171.98,11/20/2024
8,1,51799.27,51250.52,11/19/2024
9,1,51936.77,51386.56,11/18/2024
10,1,51845.56,51296.37,11/15/2024
11,1,51573.49,51043.72,11/14/2024
12,1,51634.9,50971.71,11/13/2024
13,1,51297.1,50770.11,11/12/2024
14,1,51374.45,50830.13,11/11/2024
15,1,51650.41,51103.2,11/8/2024
16,1,51860.83,51319.72,11/7/2024
17,1,51729.77,51181.63,11/6/2024
18,1,51680.54,51139.63,11/5/2024
19,1,51541.56,50995.47,11/4/2024
20,1,51512.79,50983.62,11/1/2024
21,1,51581.17,51034.62,10/31/2024
22,1,51659.49,51112.13,10/30/2024
23,1,51578.08,51031.53,10/29/2024
24,1,51297.03,50753.43,10/28/2024
25,1,51163.83,50626.61,10/25/2024
26,1,51225.65,50682.86,10/24/2024
27,1,51045.54,50521.13,10/23/2024
28,1,50738.87,50201.19,10/22/2024
29,1,50732.2,50194.63,10/21/2024
30,1,50906.18,50366.76,10/18/2024
31,1,50931.89,50392.23,10/17/2024
32,1,50984.18,50444.01,10/16/2024
33,1,51074.43,50533.23,10/15/2024
34,1,51204.63,50662.02,10/14/2024
35,1,51356.97,50812.79,10/11/2024
36,1,51177.99,50652.26,10/10/2024
37,1,51391.21,50863.29,10/9/2024
38,1,51452.64,50924.05,10/8/2024
39,1,50902.1,50379.11,10/7/2024
40,1,50593.45,50073.65,10/4/2024
41,1,50164.47,49632.79,10/3/2024
42,1,50027.9,49513.89,10/2/2024
43,1,49910.54,49381.53,10/1/2024
44,1,49867.87,49355.5,9/30/2024
45,1,49961.82,49448.52,9/27/2024
46,1,49719.6,49208.74,9/26/2024
47,1,50016.16,49486.05,9/25/2024
48,1,50047.37,49533.18,9/24/2024
